,row_number,Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions,Max
38,46,2010,Sub-Saharan Africa,Central African Rep.,3940000,370000,40000,1,1,40000,1,1,4400000,Christians
39,47,2010,Sub-Saharan Africa,Chad,4560000,6210000,280000,1,1,160000,20000,1,11230000,Muslims
40,48,2010,Europe,Channel Islands,130000,1,20000,1,1,1,1,1,150000,Christians
41,49,2010,Latin America-Caribbean,Chile,15300000,1,1470000,1,10000,260000,30000,20000,17110000,Christians
42,50,2010,Asia-Pacific,China,68410000,24690000,700680000,20000,244110000,294300000,9080000,1,1341310000,Unaffiliated
43,51,2010,Latin America-Caribbean,Colombia,42810000,10000,3050000,1,1,370000,40000,1,46290000,Christians
44,52,2010,Sub-Saharan Africa,Comoros,1,720000,1,1,1,1,1,1,730000,Muslims
45,53,2010,Sub-Saharan Africa,Congo,3470000,50000,360000,1,1,110000,40000,1,4040000,Christians
46,54,2010,Sub-Saharan Africa,Dem. Rep. Congo,63210000,970000,1170000,30000,1,490000,100000,1,65970000,Christians
47,55,2010,Asia-Pacific,Cook Islands,20000,1,1,1,1,1,1,1,20000,Christians
48,56,2010,Latin America-Caribbean,Costa Rica,4230000,1,370000,1,1,40000,10000,1,4660000,Christians
49,57,2010,Sub-Saharan Africa,Côte d'Ivoire,8710000,7390000,1570000,1,1,2020000,30000,1,19740000,Christians
50,58,2010,Europe,Croatia,4110000,60000,230000,1,1,1,1,1,4400000,Christians
51,59,2010,Latin America-Caribbean,Cuba,6670000,1,2590000,20000,1,1960000,1,1,11260000,Christians
52,60,2010,Asia-Pacific,Cyprus,810000,280000,10000,1,1,1,1,1,1100000,Christians
53,61,2010,Europe,Czech Rep.,2450000,1,8020000,1,1,1,1,1,10490000,Unaffiliated
54,62,2010,Europe,Denmark,4630000,230000,650000,20000,10000,1,1,1,5550000,Christians
55,63,2010,Sub-Saharan Africa,Djibouti,20000,860000,1,1,1,1,1,1,890000,Muslims
56,64,2010,Latin America-Caribbean,Dominica,70000,1,1,1,1,1,1,1,70000,Christians
57,65,2010,Latin America-Caribbean,Dominican Republic,8740000,1,1080000,1,1,90000,10000,1,9930000,Christians
58,66,2010,Latin America-Caribbean,Ecuador,13610000,1,800000,1,1,40000,1,1,14460000,Christians
59,67,2010,Middle East-North Africa,Egypt,4120000,76990000,1,1,1,1,1,1,81120000,Muslims
60,68,2010,Latin America-Caribbean,El Salvador,5460000,1,680000,1,1,30000,20000,1,6190000,Christians
61,69,2010,Sub-Saharan Africa,Equatorial Guinea,620000,30000,30000,1,1,10000,1,1,700000,Christians
62,70,2010,Sub-Saharan Africa,Eritrea,3310000,1920000,1,1,1,20000,1,1,5250000,Christians
63,71,2010,Europe,Estonia,540000,1,800000,1,1,1,1,1,1340000,Unaffiliated
64,72,2010,Sub-Saharan Africa,Ethiopia,52070000,28680000,50000,1,1,2130000,1,1,82950000,Christians
65,73,2010,Europe,Faeroe Islands,50000,1,1,1,1,1,1,1,50000,Christians
66,74,2010,Latin America-Caribbean,Falkland Islands (Malvinas),1,1,1,1,1,1,1,1,1,Christians
67,75,2010,Asia-Pacific,Fiji,550000,50000,1,240000,1,1,1,1,860000,Christians
68,76,2010,Europe,Finland,4300000,40000,1020000,1,1,1,1,1,5360000,Christians
69,77,2010,Europe,France,39560000,4710000,17580000,30000,280000,220000,100000,310000,62790000,Christians
70,78,2010,Latin America-Caribbean,French Guiana,200000,1,1,1,1,20000,1,1,230000,Christians
71,79,2010,Asia-Pacific,French Polynesia,250000,1,10000,1,1,1,1,1,270000,Christians
72,80,2010,Sub-Saharan Africa,Gabon,1150000,170000,80000,1,1,90000,1,1,1510000,Christians
73,81,2010,Sub-Saharan Africa,Gambia,80000,1640000,1,1,1,1,1,1,1730000,Muslims
74,82,2010,Europe,Georgia,3850000,470000,30000,1,1,1,1,1,4350000,Christians
75,83,2010,Europe,Germany,56540000,4760000,20350000,80000,210000,40000,100000,230000,82300000,Christians
76,84,2010,Sub-Saharan Africa,Ghana,18260000,3860000,1020000,1,1,1200000,40000,1,24390000,Christians
77,85,2010,Europe,Gibraltar,30000,1,1,1,1,1,1,1,30000,Christians
78,86,2010,Europe,Greece,10010000,610000,700000,20000,1,10000,1,1,11360000,Christians
79,87,2010,North America,Greenland,50000,1,1,1,1,1,1,1,60000,Christians
80,88,2010,Latin America-Caribbean,Grenada,100000,1,1,1,1,1,1,1,100000,Christians
81,89,2010,Latin America-Caribbean,Guadeloupe,440000,1,10000,1,1,1,1,1,460000,Christians
82,90,2010,Asia-Pacific,Guam,170000,1,1,1,1,1,1,1,180000,Christians
83,91,2010,Latin America-Caribbean,Guatemala,13690000,1,590000,1,1,80000,10000,1,14390000,Christians
84,92,2010,Sub-Saharan Africa,Guinea,1090000,8430000,180000,1,1,270000,1,1,9980000,Muslims
85,93,2010,Sub-Saharan Africa,Guinea-Bissau,300000,680000,70000,1,1,470000,1,1,1520000,Muslims
86,94,2010,Latin America-Caribbean,Guyana,500000,50000,10000,190000,1,1,1,1,750000,Christians
87,95,2010,Latin America-Caribbean,Haiti,8690000,1,1060000,1,1,220000,30000,1,9990000,Christians
88,96,2010,Europe,Vatican City,1,1,1,1,1,1,1,1,1,Christians
89,97,2010,Latin America-Caribbean,Honduras,6660000,10000,790000,1,1,80000,40000,1,7600000,Christians
90,98,2010,Asia-Pacific,Hong Kong,1010000,130000,3950000,30000,930000,900000,110000,1,7050000,Unaffiliated
91,99,2010,Europe,Hungary,8090000,1,1860000,1,1,1,1,10000,9980000,Christians
92,100,2010,Europe,Iceland,300000,1,10000,1,1,1,1,1,320000,Christians
93,101,2010,Asia-Pacific,India,31130000,176200000,870000,973750000,9250000,5850000,27560000,10000,1224620000,Hindus
94,102,2010,Asia-Pacific,Indonesia,23660000,209120000,240000,4050000,1720000,750000,340000,1,239870000,Muslims
95,103,2010,Asia-Pacific,Iran,110000,73570000,110000,20000,1,1,150000,1,73980000,Muslims
96,104,2010,Middle East-North Africa,Iraq,270000,31340000,40000,1,1,1,20000,1,31670000,Muslims
97,105,2010,Europe,Ireland,4110000,50000,280000,10000,1,1,1,1,4470000,Christians
98,106,2010,Europe,Isle of Man,70000,1,10000,1,1,1,1,1,80000,Christians
99,107,2010,Middle East-North Africa,Israel,150000,1380000,230000,1,20000,20000,1,5610000,7420000,Jews
100,108,2010,Europe,Italy,50440000,2220000,7500000,90000,110000,80000,60000,50000,60550000,Christians
101,109,2010,Latin America-Caribbean,Jamaica,2120000,1,470000,1,1,120000,30000,1,2740000,Christians
102,110,2010,Asia-Pacific,Japan,2030000,200000,72120000,30000,45820000,450000,5890000,1,126540000,Unaffiliated
103,111,2010,Middle East-North Africa,Jordan,130000,6010000,1,1,20000,1,1,1,6190000,Muslims
104,112,2010,Asia-Pacific,Kazakhstan,3970000,11290000,670000,1,40000,50000,20000,1,16030000,Muslims
105,113,2010,Sub-Saharan Africa,Kenya,34340000,3920000,1000000,60000,1,690000,500000,1,40510000,Christians
106,114,2010,Asia-Pacific,Kiribati,90000,1,1,1,1,1,1,1,100000,Christians
107,115,2010,Europe,Kosovo,110000,1660000,1,1,1,1,1,1,1770000,Muslims
108,116,2010,Middle East-North Africa,Kuwait,390000,2030000,1,230000,80000,1,1,1,2740000,Muslims
109,117,2010,Asia-Pacific,Kyrgyzstan,610000,4690000,20000,1,1,1,1,1,5330000,Muslims
110,118,2010,Asia-Pacific,Laos,90000,1,50000,1,4100000,1910000,50000,1,6200000,Buddhists
111,119,2010,Europe,Latvia,1260000,1,990000,1,1,1,1,1,2250000,Christians
112,120,2010,Middle East-North Africa,Lebanon,1620000,2590000,10000,1,1,1,1,1,4230000,Muslims
113,121,2010,Sub-Saharan Africa,Lesotho,2100000,1,70000,1,1,1,1,1,2170000,Christians
114,122,2010,Sub-Saharan Africa,Liberia,3430000,480000,60000,1,1,20000,1,1,3990000,Christians
115,123,2010,Middle East-North Africa,Libya,170000,6140000,10000,1,20000,1,1,1,6360000,Muslims
116,124,2010,Europe,Liechtenstein,30000,1,1,1,1,1,1,1,40000,Christians
117,125,2010,Europe,Lithuania,2980000,1,330000,1,1,1,1,1,3320000,Christians
118,126,2010,Europe,Luxembourg,360000,10000,140000,1,1,1,1,1,510000,Christians
119,127,2010,Asia-Pacific,Macau,40000,1,80000,1,90000,320000,1,1,540000,Folk Religions
120,128,2010,Europe,Republic of Macedonia,1220000,810000,30000,1,1,1,1,1,2060000,Christians
121,129,2010,Sub-Saharan Africa,Madagascar,17680000,620000,1440000,10000,1,940000,20000,1,20710000,Christians
122,130,2010,Sub-Saharan Africa,Malawi,12320000,1930000,370000,1,1,260000,1,1,14900000,Christians
123,131,2010,Asia-Pacific,Malaysia,2670000,18100000,190000,1720000,5010000,650000,60000,1,28400000,Muslims
124,132,2010,Asia-Pacific,Maldives,1,310000,1,1,1,1,1,1,320000,Muslims
125,133,2010,Sub-Saharan Africa,Mali,370000,14510000,70000,1,1,410000,1,1,15370000,Muslims
126,134,2010,Europe,Malta,400000,1,10000,1,1,1,1,1,420000,Christians
127,135,2010,Asia-Pacific,Marshall Islands,50000,1,1,1,1,1,1,1,50000,Christians
128,136,2010,Latin America-Caribbean,Martinique,390000,1,1,1,1,1,1,1,410000,Christians
129,137,2010,Sub-Saharan Africa,Mauritania,1,3430000,1,1,1,20000,1,1,3460000,Muslims
130,138,2010,Sub-Saharan Africa,Mauritius,420000,220000,1,630000,1,1,1,1,1300000,Hindus
131,139,2010,Sub-Saharan Africa,Mayotte,1,200000,1,1,1,1,1,1,200000,Muslims
132,140,2010,Latin America-Caribbean,Mexico,107910000,1,5330000,1,1,70000,20000,70000,113420000,Christians
133,141,2010,Asia-Pacific,Federated States of Micronesia,110000,1,1,1,1,1,1,1,110000,Christians
134,142,2010,Europe,Moldova,3480000,20000,50000,1,1,1,1,20000,3570000,Christians
135,143,2010,Europe,Monaco,30000,1,1,1,1,1,1,1,40000,Christians
136,144,2010,Asia-Pacific,Mongolia,60000,90000,990000,1,1520000,100000,1,1,2760000,Buddhists
137,145,2010,Europe,Montenegro,490000,120000,20000,1,1,1,1,1,630000,Christians
138,146,2010,Latin America-Caribbean,Montserrat,1,1,1,1,1,1,1,1,1,Christians
139,147,2010,Middle East-North Africa,Morocco,20000,31930000,1,1,1,1,1,1,31950000,Muslims
140,148,2010,Sub-Saharan Africa,Mozambique,13260000,4200000,4200000,1,1,1720000,1,1,23390000,Christians
141,149,2010,Asia-Pacific,Burma (Myanmar),3750000,1900000,240000,820000,38410000,2760000,80000,1,47960000,Buddhists
142,150,2010,Sub-Saharan Africa,Namibia,2230000,1,40000,1,1,1,1,1,2280000,Christians
143,151,2010,Asia-Pacific,Nauru,1,1,1,1,1,1,1,1,10000,Christians
144,152,2010,Asia-Pacific,Nepal,140000,1370000,80000,24170000,3080000,1100000,20000,1,29960000,Hindus
145,153,2010,Europe,Netherlands,8410000,1000000,6990000,80000,40000,30000,30000,30000,16610000,Christians
146,154,2010,Asia-Pacific,New Caledonia,210000,1,30000,1,1,1,1,1,250000,Christians
147,155,2010,Asia-Pacific,New Zealand,2490000,50000,1600000,90000,70000,20000,30000,1,4370000,Christians
148,156,2010,Latin America-Caribbean,Nicaragua,4970000,1,730000,1,1,80000,1,1,5790000,Christians
149,157,2010,Sub-Saharan Africa,Niger,120000,15270000,110000,1,1,1,1,1,15510000,Muslims
150,158,2010,Sub-Saharan Africa,Nigeria,78050000,77300000,680000,1,10000,2290000,90000,1,158420000,Christians
151,159,2010,Asia-Pacific,Niue,1,1,1,1,1,1,1,1,1,Christians
152,160,2010,Asia-Pacific,Dem. Rep. Korea,480000,1,17350000,1,370000,3000000,3140000,1,24350000,Unaffiliated
153,161,2010,Asia-Pacific,Northern Mariana Islands,40000,1,1,1,1,1,1,1,50000,Christians
154,162,2010,Europe,Norway,4140000,180000,490000,20000,30000,1,10000,1,4880000,Christians
155,163,2010,Middle East-North Africa,Oman,180000,2390000,1,150000,20000,1,30000,1,2780000,Muslims
156,164,2010,Asia-Pacific,Pakistan,2750000,167410000,20000,3330000,20000,30000,20000,1,173590000,Muslims
157,165,2010,Asia-Pacific,Palau,20000,1,1,1,1,1,1,1,20000,Christians
158,166,2010,Middle East-North Africa,Palestinian territories,100000,3940000,1,1,1,1,1,1,4040000,Muslims
159,167,2010,Latin America-Caribbean,Panama,3270000,30000,170000,1,1,20000,20000,10000,3520000,Christians
160,168,2010,Asia-Pacific,Papua New Guinea,6800000,1,1,1,1,30000,20000,1,6860000,Christians
161,169,2010,Latin America-Caribbean,Paraguay,6250000,1,70000,1,1,110000,10000,1,6450000,Christians
162,170,2010,Latin America-Caribbean,Peru,27780000,1,860000,1,50000,290000,90000,1,29080000,Christians
163,171,2010,Asia-Pacific,Philippines,86370000,5150000,90000,1,80000,1430000,130000,1,93260000,Christians
164,172,2010,Europe,Poland,36100000,1,2150000,1,1,1,1,10000,38280000,Christians
165,173,2010,Europe,Portugal,9810000,30000,800000,1,20000,10000,1,1,10680000,Christians
166,174,2010,Latin America-Caribbean,Puerto Rico,3630000,1,70000,1,10000,30000,1,1,3750000,Christians
167,175,2010,Middle East-North Africa,Qatar,240000,1190000,20000,240000,50000,1,10000,1,1760000,Muslims
168,176,2010,Sub-Saharan Africa,Reunion,740000,40000,20000,40000,1,1,1,1,850000,Christians
169,177,2010,Europe,Romania,21380000,70000,20000,1,1,1,1,1,21490000,Christians
170,178,2010,Europe,Russia,104750000,14290000,23180000,30000,170000,310000,1,230000,142960000,Christians
171,179,2010,Sub-Saharan Africa,Rwanda,9920000,190000,380000,1,1,100000,20000,1,10620000,Christians
172,180,2010,Sub-Saharan Africa,St. Helena,1,1,1,1,1,1,1,1,1,Christians
173,181,2010,Latin America-Caribbean,St. Kitts and Nevis,50000,1,1,1,1,1,1,1,50000,Christians
174,182,2010,Latin America-Caribbean,St. Lucia,160000,1,10000,1,1,1,1,1,170000,Christians
175,183,2010,North America,St. Pierre and Miquelon,1,1,1,1,1,1,1,1,1,Christians
176,184,2010,Latin America-Caribbean,St. Vincent and the Grenadines,100000,1,1,1,1,1,1,1,110000,Christians
177,185,2010,Asia-Pacific,Samoa,180000,1,1,1,1,1,1,1,180000,Christians
178,186,2010,Europe,San Marino,30000,1,1,1,1,1,1,1,30000,Christians
179,187,2010,Sub-Saharan Africa,Sao Tome and Principe,140000,1,20000,1,1,1,1,1,170000,Christians
180,188,2010,Middle East-North Africa,Saudi Arabia,1200000,25520000,180000,310000,90000,70000,70000,1,27450000,Muslims
181,189,2010,Sub-Saharan Africa,Senegal,450000,11980000,1,1,1,1,1,1,12430000,Muslims
182,190,2010,Europe,Serbia,7490000,330000,260000,1,1,1,1,1,8090000,Christians
183,191,2010,Sub-Saharan Africa,Seychelles,90000,1,1,1,1,1,1,1,90000,Christians
184,192,2010,Sub-Saharan Africa,Sierra Leone,1230000,4580000,1,1,1,50000,1,1,5870000,Muslims
185,193,2010,Asia-Pacific,Singapore,920000,730000,830000,260000,1730000,120000,490000,1,5090000,Buddhists
186,194,2010,Europe,Slovakia,4660000,1,780000,1,1,1,1,1,5460000,Christians
187,195,2010,Europe,Slovenia,1590000,70000,370000,1,1,1,1,1,2030000,Christians
188,196,2010,Asia-Pacific,Solomon Islands,520000,1,1,1,1,1,1,1,540000,Christians
189,197,2010,Sub-Saharan Africa,Somalia,1,9310000,1,1,1,1,1,1,9330000,Muslims
190,198,2010,Sub-Saharan Africa,South Africa,40710000,860000,7450000,570000,100000,210000,170000,70000,50130000,Christians
191,199,2010,Asia-Pacific,Korea,14170000,100000,22340000,1,11050000,400000,110000,1,48180000,Unaffiliated
192,200,2010,Europe,Spain,36240000,980000,8740000,20000,1,20000,10000,60000,46080000,Christians
193,201,2010,Asia-Pacific,Sri Lanka,1530000,2040000,1,2830000,14450000,1,1,1,20860000,Buddhists
194,202,2010,Middle East-North Africa,Sudan,1810000,30490000,350000,1,1,950000,1,1,33600000,Muslims
195,203,2010,Latin America-Caribbean,Suriname,270000,80000,30000,100000,1,30000,1,1,520000,Christians
196,204,2010,Sub-Saharan Africa,Swaziland,1040000,1,120000,1,1,10000,1,1,1190000,Christians
197,205,2010,Europe,Sweden,6310000,430000,2540000,20000,40000,20000,20000,10000,9380000,Christians
198,206,2010,Europe,Switzerland,5570000,380000,1600000,40000,40000,1,10000,20000,7660000,Christians
199,207,2010,Middle East-North Africa,Syria,1060000,18930000,420000,1,1,1,1,1,20410000,Muslims
200,208,2010,Asia-Pacific,Taiwan,1280000,10000,2950000,1,4950000,10260000,3760000,1,23220000,Folk Religions
201,209,2010,Asia-Pacific,Tajikistan,110000,6650000,100000,1,1,1,1,1,6880000,Muslims
202,210,2010,Sub-Saharan Africa,Tanzania,27540000,15770000,650000,50000,1,800000,30000,1,44840000,Christians
203,211,2010,Asia-Pacific,Thailand,600000,3770000,190000,70000,64420000,60000,1,1,69120000,Buddhists
204,212,2010,Asia-Pacific,Timor-Leste,1120000,1,1,1,1,1,1,1,1120000,Christians
205,213,2010,Sub-Saharan Africa,Togo,2640000,840000,370000,1,1,2150000,30000,1,6030000,Christians
206,214,2010,Asia-Pacific,Tokelau,1,1,1,1,1,1,1,1,1,Christians
207,215,2010,Asia-Pacific,Tonga,100000,1,1,1,1,1,1,1,100000,Christians
208,216,2010,Latin America-Caribbean,Trinidad and Tobago,880000,80000,30000,300000,1,30000,20000,1,1340000,Christians
209,217,2010,Middle East-North Africa,Tunisia,20000,10430000,20000,1,1,1,1,1,10480000,Muslims
210,218,2010,Asia-Pacific,Turkey,320000,71330000,860000,1,40000,20000,150000,20000,72750000,Muslims
211,219,2010,Asia-Pacific,Turkmenistan,320000,4690000,30000,1,1,1,1,1,5040000,Muslims
212,220,2010,Latin America-Caribbean,Turks and Caicos Islands,30000,1,1,1,1,1,1,1,30000,Christians
213,221,2010,Asia-Pacific,Tuvalu,1,1,1,1,1,1,1,1,1,Christians
214,222,2010,Sub-Saharan Africa,Uganda,28980000,3840000,170000,100000,1,290000,40000,1,33420000,Christians
215,223,2010,Europe,Ukraine,38100000,560000,6690000,10000,20000,1,1,50000,45450000,Christians
216,224,2010,Middle East-North Africa,United Arab Emirates,940000,5780000,90000,490000,150000,1,60000,1,7510000,Muslims
217,225,2010,Europe,United Kingdom,39890000,2960000,17220000,890000,280000,60000,460000,290000,62040000,Christians
218,226,2010,North America,United States,243060000,2770000,50980000,1790000,3570000,630000,1900000,5690000,310380000,Christians
219,227,2010,Latin America-Caribbean,U.S. Virgin Islands,100000,1,1,1,1,1,1,1,110000,Christians
220,228,2010,Latin America-Caribbean,Uruguay,1950000,1,1370000,1,1,30000,1,1,3370000,Christians
221,229,2010,Asia-Pacific,Uzbekistan,630000,26550000,220000,1,10000,10000,1,10000,27450000,Muslims
222,230,2010,Asia-Pacific,Vanuatu,220000,1,1,1,1,1,1,1,240000,Christians
223,231,2010,Latin America-Caribbean,Venezuela,25890000,90000,2900000,1,1,60000,20000,1,28980000,Christians
224,232,2010,Asia-Pacific,Vietnam,7170000,160000,26040000,1,14380000,39750000,350000,1,87850000,Folk Religions
225,233,2010,Asia-Pacific,Wallis and Futuna,10000,1,1,1,1,1,1,1,10000,Christians
226,234,2010,Middle East-North Africa,W. Sahara,1,530000,1,1,1,1,1,1,530000,Muslims
227,235,2010,Middle East-North Africa,Yemen,40000,23830000,20000,150000,1,1,1,1,24050000,Muslims
228,236,2010,Sub-Saharan Africa,Zambia,12770000,70000,70000,10000,1,40000,120000,1,13090000,Christians
229,237,2010,Sub-Saharan Africa,Zimbabwe,10930000,110000,990000,1,1,480000,40000,10000,12570000,Christians
230,238,2010,Sub-Saharan Africa,S. Sudan,6010000,610000,50000,1,1,3270000,1,1,9950000,Christians
231,239,2010,Latin America-Caribbean,Curacao,140000,1,1,1,1,1,1,1,150000,Christians
232,240,2010,Latin America-Caribbean,Sint Maarten,40000,1,1,1,1,1,1,1,40000,Christians
233,241,2010,Latin America-Caribbean,Caribbean Netherlands,20000,1,1,1,1,1,1,1,20000,Christians
