row_number,Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
38,2010,Europe,Bulgaria,"       6,150,000","       1,020,000","         310,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       7,490,000"
39,2010,Sub-Saharan Africa,Burkina Faso,"       3,710,000","      10,150,000","          70,000","         <10,000","         <10,000","       2,530,000","         <10,000","         <10,000","      16,470,000"
40,2010,Sub-Saharan Africa,Burundi,"       7,670,000","         230,000","         <10,000","         <10,000","         <10,000","         480,000","         <10,000","         <10,000","       8,380,000"
41,2010,Asia-Pacific,Cambodia,"          50,000","         280,000","          30,000","         <10,000","      13,690,000","          80,000","         <10,000","         <10,000","      14,140,000"
42,2010,Sub-Saharan Africa,Cameroon,"      13,780,000","       3,590,000","       1,050,000","         <10,000","         <10,000","         650,000","         530,000","         <10,000","      19,600,000"
43,2010,North America,Canada,"      23,470,000","         710,000","       8,050,000","         470,000","         280,000","         390,000","         300,000","         350,000","      34,020,000"
44,2010,Sub-Saharan Africa,Cape Verde,"         440,000","         <10,000","          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         500,000"
45,2010,Latin America-Caribbean,Cayman Islands,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
46,2010,Sub-Saharan Africa,Central African Republic,"       3,940,000","         370,000","          40,000","         <10,000","         <10,000","          40,000","         <10,000","         <10,000","       4,400,000"
47,2010,Sub-Saharan Africa,Chad,"       4,560,000","       6,210,000","         280,000","         <10,000","         <10,000","         160,000","          20,000","         <10,000","      11,230,000"
48,2010,Europe,Channel Islands,"         130,000","         <10,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         150,000"
49,2010,Latin America-Caribbean,Chile,"      15,300,000","         <10,000","       1,470,000","         <10,000","          10,000","         260,000","          30,000","          20,000","      17,110,000"
50,2010,Asia-Pacific,China,"      68,410,000","      24,690,000","     700,680,000","          20,000","     244,110,000","     294,300,000","       9,080,000","         <10,000","   1,341,310,000"
51,2010,Latin America-Caribbean,Colombia,"      42,810,000","          10,000","       3,050,000","         <10,000","         <10,000","         370,000","          40,000","         <10,000","      46,290,000"
52,2010,Sub-Saharan Africa,Comoros,"         <10,000","         720,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         730,000"
53,2010,Sub-Saharan Africa,Republic of the Congo,"       3,470,000","          50,000","         360,000","         <10,000","         <10,000","         110,000","          40,000","         <10,000","       4,040,000"
54,2010,Sub-Saharan Africa,Democratic Republic of the Congo,"      63,210,000","         970,000","       1,170,000","          30,000","         <10,000","         490,000","         100,000","         <10,000","      65,970,000"
55,2010,Asia-Pacific,Cook Islands,"          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          20,000"
56,2010,Latin America-Caribbean,Costa Rica,"       4,230,000","         <10,000","         370,000","         <10,000","         <10,000","          40,000","          10,000","         <10,000","       4,660,000"
57,2010,Sub-Saharan Africa,Ivory Coast,"       8,710,000","       7,390,000","       1,570,000","         <10,000","         <10,000","       2,020,000","          30,000","         <10,000","      19,740,000"
58,2010,Europe,Croatia,"       4,110,000","          60,000","         230,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       4,400,000"
59,2010,Latin America-Caribbean,Cuba,"       6,670,000","         <10,000","       2,590,000","          20,000","         <10,000","       1,960,000","         <10,000","         <10,000","      11,260,000"
60,2010,Asia-Pacific,Cyprus,"         810,000","         280,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,100,000"
61,2010,Europe,Czech Republic,"       2,450,000","         <10,000","       8,020,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      10,490,000"
62,2010,Europe,Denmark,"       4,630,000","         230,000","         650,000","          20,000","          10,000","         <10,000","         <10,000","         <10,000","       5,550,000"
63,2010,Sub-Saharan Africa,Djibouti,"          20,000","         860,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         890,000"
64,2010,Latin America-Caribbean,Dominica,"          70,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          70,000"
65,2010,Latin America-Caribbean,Dominican Republic,"       8,740,000","         <10,000","       1,080,000","         <10,000","         <10,000","          90,000","          10,000","         <10,000","       9,930,000"
66,2010,Latin America-Caribbean,Ecuador,"      13,610,000","         <10,000","         800,000","         <10,000","         <10,000","          40,000","         <10,000","         <10,000","      14,460,000"
67,2010,Middle East-North Africa,Egypt,"       4,120,000","      76,990,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      81,120,000"
68,2010,Latin America-Caribbean,El Salvador,"       5,460,000","         <10,000","         680,000","         <10,000","         <10,000","          30,000","          20,000","         <10,000","       6,190,000"
69,2010,Sub-Saharan Africa,Equatorial Guinea,"         620,000","          30,000","          30,000","         <10,000","         <10,000","          10,000","         <10,000","         <10,000","         700,000"
70,2010,Sub-Saharan Africa,Eritrea,"       3,310,000","       1,920,000","         <10,000","         <10,000","         <10,000","          20,000","         <10,000","         <10,000","       5,250,000"
71,2010,Europe,Estonia,"         540,000","         <10,000","         800,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,340,000"
72,2010,Sub-Saharan Africa,Ethiopia,"      52,070,000","      28,680,000","          50,000","         <10,000","         <10,000","       2,130,000","         <10,000","         <10,000","      82,950,000"
73,2010,Europe,Faeroe Islands,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          50,000"
74,2010,Latin America-Caribbean,Falkland Islands (Malvinas),"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
75,2010,Asia-Pacific,Fiji,"         550,000","          50,000","         <10,000","         240,000","         <10,000","         <10,000","         <10,000","         <10,000","         860,000"
76,2010,Europe,Finland,"       4,300,000","          40,000","       1,020,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       5,360,000"
77,2010,Europe,France,"      39,560,000","       4,710,000","      17,580,000","          30,000","         280,000","         220,000","         100,000","         310,000","      62,790,000"
78,2010,Latin America-Caribbean,French Guiana,"         200,000","         <10,000","         <10,000","         <10,000","         <10,000","          20,000","         <10,000","         <10,000","         230,000"
79,2010,Asia-Pacific,French Polynesia,"         250,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         270,000"
80,2010,Sub-Saharan Africa,Gabon,"       1,150,000","         170,000","          80,000","         <10,000","         <10,000","          90,000","         <10,000","         <10,000","       1,510,000"
81,2010,Sub-Saharan Africa,Gambia,"          80,000","       1,640,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,730,000"
82,2010,Europe,Georgia,"       3,850,000","         470,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       4,350,000"
83,2010,Europe,Germany,"      56,540,000","       4,760,000","      20,350,000","          80,000","         210,000","          40,000","         100,000","         230,000","      82,300,000"
84,2010,Sub-Saharan Africa,Ghana,"      18,260,000","       3,860,000","       1,020,000","         <10,000","         <10,000","       1,200,000","          40,000","         <10,000","      24,390,000"
85,2010,Europe,Gibraltar,"          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          30,000"
86,2010,Europe,Greece,"      10,010,000","         610,000","         700,000","          20,000","         <10,000","          10,000","         <10,000","         <10,000","      11,360,000"
87,2010,North America,Greenland,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
88,2010,Latin America-Caribbean,Grenada,"         100,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         100,000"
89,2010,Latin America-Caribbean,Guadeloupe,"         440,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         460,000"
90,2010,Asia-Pacific,Guam,"         170,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         180,000"
91,2010,Latin America-Caribbean,Guatemala,"      13,690,000","         <10,000","         590,000","         <10,000","         <10,000","          80,000","          10,000","         <10,000","      14,390,000"
92,2010,Sub-Saharan Africa,Guinea,"       1,090,000","       8,430,000","         180,000","         <10,000","         <10,000","         270,000","         <10,000","         <10,000","       9,980,000"
93,2010,Sub-Saharan Africa,Guinea-Bissau,"         300,000","         680,000","          70,000","         <10,000","         <10,000","         470,000","         <10,000","         <10,000","       1,520,000"
94,2010,Latin America-Caribbean,Guyana,"         500,000","          50,000","          10,000","         190,000","         <10,000","         <10,000","         <10,000","         <10,000","         750,000"
95,2010,Latin America-Caribbean,Haiti,"       8,690,000","         <10,000","       1,060,000","         <10,000","         <10,000","         220,000","          30,000","         <10,000","       9,990,000"
96,2010,Europe,Vatican City,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
97,2010,Latin America-Caribbean,Honduras,"       6,660,000","          10,000","         790,000","         <10,000","         <10,000","          80,000","          40,000","         <10,000","       7,600,000"
98,2010,Asia-Pacific,Hong Kong,"       1,010,000","         130,000","       3,950,000","          30,000","         930,000","         900,000","         110,000","         <10,000","       7,050,000"
99,2010,Europe,Hungary,"       8,090,000","         <10,000","       1,860,000","         <10,000","         <10,000","         <10,000","         <10,000","          10,000","       9,980,000"
100,2010,Europe,Iceland,"         300,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         320,000"
101,2010,Asia-Pacific,India,"      31,130,000","     176,200,000","         870,000","     973,750,000","       9,250,000","       5,850,000","      27,560,000","          10,000","   1,224,620,000"
102,2010,Asia-Pacific,Indonesia,"      23,660,000","     209,120,000","         240,000","       4,050,000","       1,720,000","         750,000","         340,000","         <10,000","     239,870,000"
103,2010,Asia-Pacific,Iran,"         110,000","      73,570,000","         110,000","          20,000","         <10,000","         <10,000","         150,000","         <10,000","      73,980,000"
104,2010,Middle East-North Africa,Iraq,"         270,000","      31,340,000","          40,000","         <10,000","         <10,000","         <10,000","          20,000","         <10,000","      31,670,000"
105,2010,Europe,Ireland,"       4,110,000","          50,000","         280,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","       4,470,000"
106,2010,Europe,Isle of Man,"          70,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          80,000"
107,2010,Middle East-North Africa,Israel,"         150,000","       1,380,000","         230,000","         <10,000","          20,000","          20,000","         <10,000","       5,610,000","       7,420,000"
108,2010,Europe,Italy,"      50,440,000","       2,220,000","       7,500,000","          90,000","         110,000","          80,000","          60,000","          50,000","      60,550,000"
109,2010,Latin America-Caribbean,Jamaica,"       2,120,000","         <10,000","         470,000","         <10,000","         <10,000","         120,000","          30,000","         <10,000","       2,740,000"
110,2010,Asia-Pacific,Japan,"       2,030,000","         200,000","      72,120,000","          30,000","      45,820,000","         450,000","       5,890,000","         <10,000","     126,540,000"
111,2010,Middle East-North Africa,Jordan,"         130,000","       6,010,000","         <10,000","         <10,000","          20,000","         <10,000","         <10,000","         <10,000","       6,190,000"
112,2010,Asia-Pacific,Kazakhstan,"       3,970,000","      11,290,000","         670,000","         <10,000","          40,000","          50,000","          20,000","         <10,000","      16,030,000"
113,2010,Sub-Saharan Africa,Kenya,"      34,340,000","       3,920,000","       1,000,000","          60,000","         <10,000","         690,000","         500,000","         <10,000","      40,510,000"
114,2010,Asia-Pacific,Kiribati,"          90,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         100,000"
115,2010,Europe,Kosovo,"         110,000","       1,660,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,770,000"
116,2010,Middle East-North Africa,Kuwait,"         390,000","       2,030,000","         <10,000","         230,000","          80,000","         <10,000","         <10,000","         <10,000","       2,740,000"
117,2010,Asia-Pacific,Kyrgyzstan,"         610,000","       4,690,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       5,330,000"
118,2010,Asia-Pacific,Laos,"          90,000","         <10,000","          50,000","         <10,000","       4,100,000","       1,910,000","          50,000","         <10,000","       6,200,000"
119,2010,Europe,Latvia,"       1,260,000","         <10,000","         990,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       2,250,000"
120,2010,Middle East-North Africa,Lebanon,"       1,620,000","       2,590,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       4,230,000"
121,2010,Sub-Saharan Africa,Lesotho,"       2,100,000","         <10,000","          70,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       2,170,000"
122,2010,Sub-Saharan Africa,Liberia,"       3,430,000","         480,000","          60,000","         <10,000","         <10,000","          20,000","         <10,000","         <10,000","       3,990,000"
123,2010,Middle East-North Africa,Libya,"         170,000","       6,140,000","          10,000","         <10,000","          20,000","         <10,000","         <10,000","         <10,000","       6,360,000"
124,2010,Europe,Liechtenstein,"          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          40,000"
125,2010,Europe,Lithuania,"       2,980,000","         <10,000","         330,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       3,320,000"
126,2010,Europe,Luxembourg,"         360,000","          10,000","         140,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         510,000"
127,2010,Asia-Pacific,Macau,"          40,000","         <10,000","          80,000","         <10,000","          90,000","         320,000","         <10,000","         <10,000","         540,000"
128,2010,Europe,Republic of Macedonia,"       1,220,000","         810,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       2,060,000"
129,2010,Sub-Saharan Africa,Madagascar,"      17,680,000","         620,000","       1,440,000","          10,000","         <10,000","         940,000","          20,000","         <10,000","      20,710,000"
130,2010,Sub-Saharan Africa,Malawi,"      12,320,000","       1,930,000","         370,000","         <10,000","         <10,000","         260,000","         <10,000","         <10,000","      14,900,000"
131,2010,Asia-Pacific,Malaysia,"       2,670,000","      18,100,000","         190,000","       1,720,000","       5,010,000","         650,000","          60,000","         <10,000","      28,400,000"
132,2010,Asia-Pacific,Maldives,"         <10,000","         310,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         320,000"
133,2010,Sub-Saharan Africa,Mali,"         370,000","      14,510,000","          70,000","         <10,000","         <10,000","         410,000","         <10,000","         <10,000","      15,370,000"
134,2010,Europe,Malta,"         400,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         420,000"
135,2010,Asia-Pacific,Marshall Islands,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          50,000"
136,2010,Latin America-Caribbean,Martinique,"         390,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         410,000"
137,2010,Sub-Saharan Africa,Mauritania,"         <10,000","       3,430,000","         <10,000","         <10,000","         <10,000","          20,000","         <10,000","         <10,000","       3,460,000"
138,2010,Sub-Saharan Africa,Mauritius,"         420,000","         220,000","         <10,000","         630,000","         <10,000","         <10,000","         <10,000","         <10,000","       1,300,000"
139,2010,Sub-Saharan Africa,Mayotte,"         <10,000","         200,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         200,000"
140,2010,Latin America-Caribbean,Mexico,"     107,910,000","         <10,000","       5,330,000","         <10,000","         <10,000","          70,000","          20,000","          70,000","     113,420,000"
141,2010,Asia-Pacific,Federated States of Micronesia,"         110,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         110,000"
142,2010,Europe,Moldova,"       3,480,000","          20,000","          50,000","         <10,000","         <10,000","         <10,000","         <10,000","          20,000","       3,570,000"
143,2010,Europe,Monaco,"          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          40,000"
144,2010,Asia-Pacific,Mongolia,"          60,000","          90,000","         990,000","         <10,000","       1,520,000","         100,000","         <10,000","         <10,000","       2,760,000"
145,2010,Europe,Montenegro,"         490,000","         120,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         630,000"
146,2010,Latin America-Caribbean,Montserrat,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
147,2010,Middle East-North Africa,Morocco,"          20,000","      31,930,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      31,950,000"
148,2010,Sub-Saharan Africa,Mozambique,"      13,260,000","       4,200,000","       4,200,000","         <10,000","         <10,000","       1,720,000","         <10,000","         <10,000","      23,390,000"
149,2010,Asia-Pacific,Burma (Myanmar),"       3,750,000","       1,900,000","         240,000","         820,000","      38,410,000","       2,760,000","          80,000","         <10,000","      47,960,000"
150,2010,Sub-Saharan Africa,Namibia,"       2,230,000","         <10,000","          40,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       2,280,000"
151,2010,Asia-Pacific,Nauru,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          10,000"
152,2010,Asia-Pacific,Nepal,"         140,000","       1,370,000","          80,000","      24,170,000","       3,080,000","       1,100,000","          20,000","         <10,000","      29,960,000"
153,2010,Europe,Netherlands,"       8,410,000","       1,000,000","       6,990,000","          80,000","          40,000","          30,000","          30,000","          30,000","      16,610,000"
154,2010,Asia-Pacific,New Caledonia,"         210,000","         <10,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         250,000"
155,2010,Asia-Pacific,New Zealand,"       2,490,000","          50,000","       1,600,000","          90,000","          70,000","          20,000","          30,000","         <10,000","       4,370,000"
156,2010,Latin America-Caribbean,Nicaragua,"       4,970,000","         <10,000","         730,000","         <10,000","         <10,000","          80,000","         <10,000","         <10,000","       5,790,000"
157,2010,Sub-Saharan Africa,Niger,"         120,000","      15,270,000","         110,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      15,510,000"
158,2010,Sub-Saharan Africa,Nigeria,"      78,050,000","      77,300,000","         680,000","         <10,000","          10,000","       2,290,000","          90,000","         <10,000","     158,420,000"
159,2010,Asia-Pacific,Niue,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
160,2010,Asia-Pacific,North Korea,"         480,000","         <10,000","      17,350,000","         <10,000","         370,000","       3,000,000","       3,140,000","         <10,000","      24,350,000"
161,2010,Asia-Pacific,Northern Mariana Islands,"          40,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          50,000"
162,2010,Europe,Norway,"       4,140,000","         180,000","         490,000","          20,000","          30,000","         <10,000","          10,000","         <10,000","       4,880,000"
163,2010,Middle East-North Africa,Oman,"         180,000","       2,390,000","         <10,000","         150,000","          20,000","         <10,000","          30,000","         <10,000","       2,780,000"
164,2010,Asia-Pacific,Pakistan,"       2,750,000","     167,410,000","          20,000","       3,330,000","          20,000","          30,000","          20,000","         <10,000","     173,590,000"
165,2010,Asia-Pacific,Palau,"          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          20,000"
166,2010,Middle East-North Africa,Palestinian territories,"         100,000","       3,940,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       4,040,000"
167,2010,Latin America-Caribbean,Panama,"       3,270,000","          30,000","         170,000","         <10,000","         <10,000","          20,000","          20,000","          10,000","       3,520,000"
168,2010,Asia-Pacific,Papua New Guinea,"       6,800,000","         <10,000","         <10,000","         <10,000","         <10,000","          30,000","          20,000","         <10,000","       6,860,000"
169,2010,Latin America-Caribbean,Paraguay,"       6,250,000","         <10,000","          70,000","         <10,000","         <10,000","         110,000","          10,000","         <10,000","       6,450,000"
170,2010,Latin America-Caribbean,Peru,"      27,780,000","         <10,000","         860,000","         <10,000","          50,000","         290,000","          90,000","         <10,000","      29,080,000"
171,2010,Asia-Pacific,Philippines,"      86,370,000","       5,150,000","          90,000","         <10,000","          80,000","       1,430,000","         130,000","         <10,000","      93,260,000"
172,2010,Europe,Poland,"      36,100,000","         <10,000","       2,150,000","         <10,000","         <10,000","         <10,000","         <10,000","          10,000","      38,280,000"
173,2010,Europe,Portugal,"       9,810,000","          30,000","         800,000","         <10,000","          20,000","          10,000","         <10,000","         <10,000","      10,680,000"
174,2010,Latin America-Caribbean,Puerto Rico,"       3,630,000","         <10,000","          70,000","         <10,000","          10,000","          30,000","         <10,000","         <10,000","       3,750,000"
175,2010,Middle East-North Africa,Qatar,"         240,000","       1,190,000","          20,000","         240,000","          50,000","         <10,000","          10,000","         <10,000","       1,760,000"
176,2010,Sub-Saharan Africa,Reunion,"         740,000","          40,000","          20,000","          40,000","         <10,000","         <10,000","         <10,000","         <10,000","         850,000"
177,2010,Europe,Romania,"      21,380,000","          70,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      21,490,000"
178,2010,Europe,Russia,"     104,750,000","      14,290,000","      23,180,000","          30,000","         170,000","         310,000","         <10,000","         230,000","     142,960,000"
179,2010,Sub-Saharan Africa,Rwanda,"       9,920,000","         190,000","         380,000","         <10,000","         <10,000","         100,000","          20,000","         <10,000","      10,620,000"
180,2010,Sub-Saharan Africa,St. Helena,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
181,2010,Latin America-Caribbean,St. Kitts and Nevis,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          50,000"
182,2010,Latin America-Caribbean,St. Lucia,"         160,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         170,000"
183,2010,North America,St. Pierre and Miquelon,"         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000"
184,2010,Latin America-Caribbean,St. Vincent and the Grenadines,"         100,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         110,000"
185,2010,Asia-Pacific,Samoa,"         180,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         180,000"
186,2010,Europe,San Marino,"          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          30,000"
187,2010,Sub-Saharan Africa,Sao Tome and Principe,"         140,000","         <10,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         170,000"
188,2010,Middle East-North Africa,Saudi Arabia,"       1,200,000","      25,520,000","         180,000","         310,000","          90,000","          70,000","          70,000","         <10,000","      27,450,000"
189,2010,Sub-Saharan Africa,Senegal,"         450,000","      11,980,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","      12,430,000"
190,2010,Europe,Serbia,"       7,490,000","         330,000","         260,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       8,090,000"
191,2010,Sub-Saharan Africa,Seychelles,"          90,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          90,000"
